,cords
254,"(39.821595, -86.094476, 0.0)"
255,"(39.821595, -86.094476, 0.0)"
256,"(39.821595, -86.094476, 0.0)"
257,"(39.821595, -86.094476, 0.0)"
258,"(39.76400075, -86.15872586076406, 0.0)"
259,"(39.79818964218903, -86.05833537233113, 0.0)"
260,"(39.76684667152606, -86.20913007375307, 0.0)"
261,"(39.76610925, -86.15747104723218, 0.0)"
262,"(39.805519918367345, -86.18801536734695, 0.0)"
263,"(39.805519918367345, -86.18801536734695, 0.0)"
264,"(39.772866916666665, -86.009282875, 0.0)"
265,"(39.772866916666665, -86.009282875, 0.0)"
266,"(39.816747368421055, -86.03005273684211, 0.0)"
267,"(39.816747368421055, -86.03005273684211, 0.0)"
268,"(39.816747368421055, -86.03005273684211, 0.0)"
269,"(39.82478179691592, -86.27042629347378, 0.0)"
270,"(39.82478179691592, -86.27042629347378, 0.0)"
271,"(39.77023789189189, -86.10105725, 0.0)"
272,"(39.77023789189189, -86.10105725, 0.0)"
273,"(39.77023789189189, -86.10105725, 0.0)"
274,"(39.7732896, -86.0229565, 0.0)"
275,"(39.78688933093265, -86.21735545125678, 0.0)"
276,"(39.80332416326531, -86.12373159183674, 0.0)"
277,"(39.80332416326531, -86.12373159183674, 0.0)"
278,"(39.80332416326531, -86.12373159183674, 0.0)"
279,"(39.80332416326531, -86.12373159183674, 0.0)"
280,"(39.72797395255175, -86.06074017796618, 0.0)"
281,"(39.72797395255175, -86.06074017796618, 0.0)"
282,"(39.72797395255175, -86.06074017796618, 0.0)"
283,"(39.7885784, -86.0832142, 0.0)"
284,"(39.7885784, -86.0832142, 0.0)"
285,"(39.7885784, -86.0832142, 0.0)"
286,"(39.7885784, -86.0832142, 0.0)"
287,"(39.7885784, -86.0832142, 0.0)"
288,"(39.7885784, -86.0832142, 0.0)"
289,"(39.82663839429246, -86.10887522240522, 0.0)"
290,"(39.82663839429246, -86.10887522240522, 0.0)"
291,"(39.82663839429246, -86.10887522240522, 0.0)"
292,"(39.725785707070706, -86.21763144444444, 0.0)"
293,"(39.760510424242426, -86.07949221212121, 0.0)"
294,"(39.760510424242426, -86.07949221212121, 0.0)"
295,"(39.815627, -86.159226, 0.0)"
296,"(39.815627, -86.159226, 0.0)"
297,"(39.815627, -86.159226, 0.0)"
298,"(39.815627, -86.159226, 0.0)"
299,"(39.815627, -86.159226, 0.0)"
300,"(39.83505746988361, -86.2715602208501, 0.0)"
301,"(39.7630776, -86.15876947766199, 0.0)"
302,"(39.7630776, -86.15876947766199, 0.0)"
303,"(39.763343, -86.15812, 0.0)"
304,"(39.76308, -86.15778216241392, 0.0)"
305,"(39.796902, -85.998051, 0.0)"
306,"(39.796902, -85.998051, 0.0)"
307,"(39.796902, -85.998051, 0.0)"
308,"(39.7732896, -86.0229565, 0.0)"
309,"(39.83505746988361, -86.2715602208501, 0.0)"
310,"(39.83505746988361, -86.2715602208501, 0.0)"
311,"(39.83505746988361, -86.2715602208501, 0.0)"
312,"(39.815627, -86.159226, 0.0)"
313,"(39.815627, -86.159226, 0.0)"
314,"(39.815627, -86.159226, 0.0)"
315,"(39.815627, -86.159226, 0.0)"
316,"(39.815627, -86.159226, 0.0)"
317,"(39.7299151, -86.3248449, 0.0)"
318,"(39.7299151, -86.3248449, 0.0)"
319,"(39.7299151, -86.3248449, 0.0)"
320,"(39.83505746988361, -86.2715602208501, 0.0)"
321,"(39.83505746988361, -86.2715602208501, 0.0)"
322,"(39.83505746988361, -86.2715602208501, 0.0)"
323,"(39.83505746988361, -86.2715602208501, 0.0)"
324,"(39.7299151, -86.3248449, 0.0)"
325,"(39.79628004081633, -86.18501571428571, 0.0)"
326,"(39.79628004081633, -86.18501571428571, 0.0)"
327,"(39.79628004081633, -86.18501571428571, 0.0)"
328,"(39.83505746988361, -86.2715602208501, 0.0)"
329,"(39.748076, -86.150669, 0.0)"
330,"(39.748076, -86.150669, 0.0)"
331,"(39.748076, -86.150669, 0.0)"
332,"(39.748076, -86.150669, 0.0)"
333,"(39.748076, -86.150669, 0.0)"
334,"(39.76400075, -86.15872586076406, 0.0)"
335,"(39.770125, -86.161707, 0.0)"
336,"(39.824057050505054, -86.01000326262627, 0.0)"
337,"(39.74825404365125, -86.139899, 0.0)"
338,"(39.76308, -86.15778216241392, 0.0)"
339,"(39.746632991484425, -86.24207800623479, 0.0)"
340,"(39.76857, -86.1600279, 0.0)"
341,"(39.76857, -86.1600279, 0.0)"
342,"(39.793678, -86.045613, 0.0)"
343,"(39.89216448666427, -86.04351672999641, 0.0)"
344,"(39.89216448666427, -86.04351672999641, 0.0)"
345,"(39.815627, -86.159226, 0.0)"
346,"(39.815627, -86.159226, 0.0)"
347,"(39.7739089, -86.0084202, 0.0)"
348,"(39.7739089, -86.0084202, 0.0)"
349,"(39.7739089, -86.0084202, 0.0)"
350,"(39.7739089, -86.0084202, 0.0)"
351,"(39.771283, -86.132049, 0.0)"
352,"(39.771283, -86.132049, 0.0)"
353,"(39.771283, -86.132049, 0.0)"
354,"(39.7656761, -86.15934391363386, 0.0)"
355,"(39.7656761, -86.15934391363386, 0.0)"
356,"(39.7878816, -86.2107043, 0.0)"
357,"(39.7630776, -86.15876947766199, 0.0)"
358,"(39.794327, -86.111974, 0.0)"
359,"(39.76322475, -86.15876923317849, 0.0)"
360,"(39.79114352941176, -86.17929214705882, 0.0)"
361,"(39.79114352941176, -86.17929214705882, 0.0)"
362,"(39.79114352941176, -86.17929214705882, 0.0)"
363,"(39.725785707070706, -86.21763144444444, 0.0)"
364,"(39.815627, -86.159226, 0.0)"
365,"(39.815627, -86.159226, 0.0)"
366,"(39.7656761, -86.15934391363386, 0.0)"
367,"(39.7656761, -86.15934391363386, 0.0)"
368,"(39.70147063636364, -86.08273918181818, 0.0)"
369,"(39.70147063636364, -86.08273918181818, 0.0)"
370,"(39.766831999999994, -86.203024, 0.0)"
371,"(39.830929795918365, -86.06116257142858, 0.0)"
372,"(39.7756067, -85.9868162, 0.0)"
373,"(39.7756067, -85.9868162, 0.0)"
374,"(39.7756067, -85.9868162, 0.0)"
375,"(39.7756067, -85.9868162, 0.0)"
376,"(39.74436402040816, -86.13475430612245, 0.0)"
377,"(39.7656761, -86.15934391363386, 0.0)"
378,"(39.7656761, -86.15934391363386, 0.0)"
379,"(39.76260905, -86.16008930367761, 0.0)"
380,"(39.76260905, -86.16008930367761, 0.0)"
381,"(39.76260905, -86.16008930367761, 0.0)"
382,"(39.769038153061224, -86.15993875510205, 0.0)"
